,115410.jpg,115535.jpg,115591.jpg,115717.jpg,115819.jpg,116076.jpg,116077.jpg,116199.jpg,116269.jpg,116278.jpg,116292.jpg,116311.jpg,116313.jpg,116346.jpg,116364.jpg,116428.jpg,116444.jpg,116509.jpg,116524.jpg,116588.jpg,116593.jpg,116601.jpg,116693.jpg,116706.jpg,116822.jpg
115410.jpg,0.0,0.45750442,0.79235244,0.7589697,0.9847884,0.12971236,0.6810065,0.9443546,0.6612428,0.29257268,0.70716536,0.9714968,0.9826152,0.7861507,0.8720868,0.97425056,0.9722411,0.4107189,0.2843783,0.27808273,0.5034476,0.4347579,0.7456318,0.9635044,0.12998112
115535.jpg,0.45750442,0.0,0.90170366,0.9918747,0.6784305,0.49032605,0.36864695,0.32073984,0.192415,0.92169964,0.24428643,0.51328456,0.66270465,0.9837547,0.0904784,0.39357254,0.99813795,0.9769496,0.16921917,0.04977926,0.94844615,0.97135466,0.96326256,0.34906298,0.85893327
115591.jpg,0.79235244,0.90170366,0.0,0.46101183,0.9580021,0.43379664,0.4721993,0.87725776,0.9749781,0.52649724,0.6981123,0.995376,0.9781151,0.9533802,0.91252965,0.94262147,0.5732663,0.7887233,0.981042,0.96323115,0.14328857,0.26705423,0.15295948,0.97008073,0.809666
115717.jpg,0.7589697,0.9918747,0.46101183,0.0,0.9989807,0.8170717,0.96472114,0.99688315,0.9938651,0.5872126,0.98160696,0.99949354,0.99931973,0.94468266,0.99614614,0.99872077,0.18121383,0.29394555,0.9940245,0.9914566,0.1160175,0.033125106,0.38824794,0.99852175,0.8087757
115819.jpg,0.9847884,0.6784305,0.9580021,0.9989807,0.0,0.98134154,0.9603533,0.026455438,0.9386772,0.98791873,0.9319501,0.4022276,0.05498981,0.99556667,0.12564307,0.02127385,0.9996457,0.9948229,0.9729605,0.93257296,0.996071,0.9976433,0.9934703,0.11137099,0.994314
116076.jpg,0.12971236,0.49032605,0.43379664,0.8170717,0.98134154,0.0,0.14700143,0.91646326,0.8812216,0.22997889,0.25971672,0.99185836,0.9798694,0.833192,0.8829704,0.9609447,0.9458317,0.7868353,0.6403403,0.60461426,0.23412916,0.37694532,0.2986083,0.9769669,0.09324541
116077.jpg,0.6810065,0.36864695,0.4721993,0.96472114,0.9603533,0.14700143,0.0,0.84133315,0.834173,0.88323987,0.025485458,0.9916192,0.975709,0.991212,0.748023,0.9083743,0.98465794,0.9812778,0.856304,0.6951884,0.62311727,0.846907,0.7658798,0.9444228,0.79410934
116199.jpg,0.9443546,0.32073984,0.87725776,0.99688315,0.026455438,0.91646326,0.84133315,0.0,0.86839575,0.9584351,0.7670723,0.45469087,0.06827289,0.98792285,0.06349663,0.01923924,0.99895227,0.9862849,0.9180216,0.8128963,0.9849631,0.9916297,0.97649354,0.12662828,0.9770537
116269.jpg,0.6612428,0.192415,0.9749781,0.9938651,0.9386772,0.8812216,0.834173,0.86839575,0.0,0.98392594,0.61892605,0.71528506,0.962554,0.9971567,0.3374176,0.9021486,0.99919546,0.98602784,0.43492582,0.11639736,0.98135084,0.9853718,0.99290615,0.5034229,0.9673011
116278.jpg,0.29257268,0.92169964,0.52649724,0.5872126,0.98791873,0.22997889,0.88323987,0.9584351,0.98392594,0.0,0.9351893,0.9949815,0.98245615,0.10903613,0.97032064,0.98285514,0.86116236,0.14785893,0.9119951,0.9345592,0.31758183,0.2862925,0.15704373,0.9917322,0.07460983
116292.jpg,0.70716536,0.24428643,0.6981123,0.98160696,0.9319501,0.25971672,0.025485458,0.7670723,0.61892605,0.9351893,0.0,0.98162144,0.96424437,0.99471754,0.5169755,0.85045964,0.9937813,0.9869119,0.8146359,0.5161791,0.80929536,0.92368376,0.89585537,0.8648435,0.8736669
116311.jpg,0.9714968,0.51328456,0.995376,0.99949354,0.4022276,0.99185836,0.9916192,0.45469087,0.71528506,0.9949815,0.98162144,0.0,0.3432303,0.99700266,0.22854824,0.4072549,0.99990505,0.9955527,0.8385484,0.6872689,0.9988054,0.99898726,0.9988534,0.16060391,0.99562705
116313.jpg,0.9826152,0.66270465,0.9781151,0.99931973,0.05498981,0.9798694,0.975709,0.06827289,0.962554,0.98245615,0.96424437,0.3432303,0.0,0.98858434,0.24278213,0.05039556,0.999735,0.99482596,0.94230765,0.9139434,0.99712026,0.99824536,0.99348325,0.30784526,0.9905971
116346.jpg,0.7861507,0.9837547,0.9533802,0.94468266,0.99556667,0.833192,0.991212,0.98792285,0.9971567,0.10903613,0.99471754,0.99700266,0.98858434,0.0,0.9933352,0.99441445,0.9822458,0.37331912,0.9619833,0.9837137,0.921444,0.89264125,0.74449706,0.99776864,0.29107708
116364.jpg,0.8720868,0.0904784,0.91252965,0.99614614,0.12564307,0.8829704,0.748023,0.06349663,0.3374176,0.97032064,0.5169755,0.22854824,0.24278213,0.9933352,0.0,0.07412178,0.9990631,0.98665696,0.74915695,0.35379526,0.98217905,0.98956835,0.9842562,0.037141304,0.972759
116428.jpg,0.97425056,0.39357254,0.94262147,0.99872077,0.02127385,0.9609447,0.9083743,0.01923924,0.9021486,0.98285514,0.85045964,0.4072549,0.05039556,0.99441445,0.07412178,0.0,0.9995121,0.9946864,0.9429209,0.8661814,0.9935203,0.9965347,0.9893606,0.11241796,0.9896458
116444.jpg,0.9722411,0.99813795,0.5732663,0.18121383,0.9996457,0.9458317,0.98465794,0.99895227,0.99919546,0.86116236,0.9937813,0.99990505,0.999735,0.9822458,0.9990631,0.9995121,0.0,0.8850556,0.998892,0.9986324,0.2202028,0.21339092,0.3263896,0.9996685,0.9505835
116509.jpg,0.4107189,0.9769496,0.7887233,0.29394555,0.9948229,0.7868353,0.9812778,0.9862849,0.98602784,0.14785893,0.9869119,0.9955527,0.99482596,0.37331912,0.98665696,0.9946864,0.8850556,0.0,0.9729598,0.97213453,0.6233463,0.31182408,0.66726756,0.9940091,0.45685226
116524.jpg,0.2843783,0.16921917,0.981042,0.9940245,0.9729605,0.6403403,0.856304,0.9180216,0.43492582,0.9119951,0.8146359,0.8385484,0.94230765,0.9619833,0.74915695,0.9429209,0.998892,0.9729598,0.0,0.045098796,0.9734185,0.9798054,0.9808684,0.9259661,0.71135306
116588.jpg,0.27808273,0.04977926,0.96323115,0.9914566,0.93257296,0.60461426,0.6951884,0.8128963,0.11639736,0.9345592,0.5161791,0.6872689,0.9139434,0.9837137,0.35379526,0.8661814,0.9986324,0.97213453,0.045098796,0.0,0.96178925,0.9727336,0.98002553,0.7426339,0.8246042
